Date,strategy_return,benchmark_return,strategy_equity,benchmark_equity
2023-01-02,-0.031282330692364906,-0.033217911315901905,0.9687176693076351,0.9667820886840981
2023-01-03,-0.02435876207536923,-0.02077536286380388,0.9451209060827642,0.9466968399814597
2023-01-04,0.00810671651244177,0.011212871762379173,0.9527827333383593,0.9573120302460214
2023-01-05,0.025927810958061893,0.020734045987050642,0.9774863039324617,0.9771609819050993
2023-01-06,0.011537108235952782,0.01225841254487614,0.988763669220092,0.9891394243440482
2023-01-09,0.004523440089035195,0.003592561284869067,0.9932362824400237,0.9926929683452843
2023-01-10,0.020344367463806485,0.01542658866397506,1.0134430463483686,1.0080068344375674
2023-01-11,0.016075636021093652,0.007672749567224413,1.0297347878895733,1.0157410184402575
2023-01-12,-0.0006804375182685544,0.0010200155686586054,1.029034117706027,1.0167770900927917
2023-01-13,-0.0025408174962236203,-0.008589790573576339,1.0264195298155485,1.0080431878288842
2023-01-16,-0.014123785461257195,-0.015353961556493156,1.0119226005831892,0.9925657314756747
2023-01-17,0.01784596244772639,0.020382188933551815,1.0299813333132022,1.0127963937435809
2023-01-18,0.002665492137053264,0.009090174893888081,1.0327267404584601,1.0220028900946092
2023-01-19,0.006509712527557861,0.004926546437591162,1.0394494946583666,1.0270378347920126
2023-01-20,-0.0014187813579052448,-0.006238606799638946,1.0379747430928612,1.0206305495723926
2023-01-23,-0.00544815908270914,-0.005271547003143362,1.0323196915686572,1.0152502476574776
2023-01-24,0.008720613090646851,0.011807464036022175,1.0413221521846834,1.027237778444256
2023-01-25,0.006480644913118853,0.010324875252149868,1.0480705912931572,1.0378438803609884
2023-01-26,-0.004712140179794629,-0.000753097771356015,1.0431319357486637,1.037062282447673
2023-01-27,-0.004318840302862366,-0.014083025878765087,1.0386268155033496,1.0224573074860712
2023-01-30,0.0012945148776826398,-0.005457680752342209,1.0399713333683789,1.016877061918913
2023-01-31,0.013588069975186119,0.014693264693264707,1.0541025366183758,1.0318183057501968
2023-02-01,-0.012868929649460625,-0.010825141810238526,1.040537365231316,1.0206487262680508
2023-02-02,-0.007216071028916238,-0.02108581248942598,1.0330287736955654,0.9991275186083912
2023-02-03,-0.019184735266114906,-0.013144130622640637,1.0132103901499367,0.9859948559951277
2023-02-06,1.98050832572072e-05,-0.000313392939441437,1.0132304568660706,0.9856858521689332
2023-02-07,-0.004107248083350627,-0.004942096333997226,1.0090688680141149,0.9808144977324562
2023-02-08,0.01452297493432319,0.018180133432172063,1.0237235498912898,0.998645836173441
2023-02-09,-0.014413734451472138,-0.019102309750459567,1.0089678704914384,0.9795693940798493
2023-02-10,-0.0014628102844772858,0.003404989655140467,1.0074919419137764,0.9829048177331834
2023-02-13,0.0078011593187651196,0.00643550624133149,1.0153515470650178,0.9892303078223401
2023-02-14,-0.005660244152186356,-0.01090531576723075,1.0096044094083296,0.9784424389490226
2023-02-15,0.008625148830958891,0.016561550822504323,1.018312397699869,0.9946469631285719
2023-02-16,0.0018561821028397318,0.004230551342263578,1.0202025709475793,0.9988548681735139
